area_type,availability,location,size,society,total_sqft,bath,balcony,price,total_sqft_clean,bhk,location_clean,price_per_sqft,sqft_per_bhk,location_encoded,bath_per_bhk,area_type_encoded,latitude,longitude,location_label
Built-up  Area,Ready To Move,Banashankari Stage III,4 Bedroom,,2100,3.0,1.0,147.0,2100.0,4.0,Banashankari Stage Iii,7000.0,525.0,Banashankari Stage Iii,0.75,2,12.915,77.542,21
Super built-up  Area,Ready To Move,Banashankari Stage III,3 BHK,SaideHi,1420,2.0,2.0,95.0,1420.0,3.0,Banashankari Stage Iii,6690.140845070423,473.3333333333333,Banashankari Stage Iii,0.6666666666666666,1,12.915,77.542,21
Super built-up  Area,18-Jul,banashankari stage iii sa,3 BHK,,1411,3.0,2.0,91.72,1411.0,3.0,Banashankari Stage Iii Sa,6500.3543586109145,470.3333333333333,Other,1.0,1,12.9266,77.5581,146
Super built-up  Area,Ready To Move,Banashankari Stage V,3 BHK,,1300,2.0,1.0,58.5,1300.0,3.0,Banashankari Stage V,4500.0,433.3333333333333,Banashankari Stage V,0.6666666666666666,1,12.9266,77.5581,22
Super built-up  Area,Ready To Move,Banashankari Stage V,3 BHK,,1305,2.0,2.0,49.0,1305.0,3.0,Banashankari Stage V,3754.7892720306513,435.0,Banashankari Stage V,0.6666666666666666,1,12.9266,77.5581,22
Super built-up  Area,Ready To Move,Banashankari Stage V,2 BHK,,1035,2.0,2.0,35.77,1035.0,2.0,Banashankari Stage V,3456.038647342996,517.5,Banashankari Stage V,1.0,1,12.9266,77.5581,22
Super built-up  Area,Ready To Move,Banashankari Stage V,3 BHK,,1355,2.0,1.0,61.0,1355.0,3.0,Banashankari Stage V,4501.845018450184,451.6666666666667,Banashankari Stage V,0.6666666666666666,1,12.9266,77.5581,22
Super built-up  Area,Ready To Move,Banashankari Stage V,3 BHK,Naiewre,1510,3.0,3.0,47.57,1510.0,3.0,Banashankari Stage V,3150.3311258278145,503.3333333333333,Banashankari Stage V,1.0,1,12.9266,77.5581,22
Super built-up  Area,18-May,Banashankari Stage V,3 BHK,Naiewre,1650,3.0,2.0,51.98,1650.0,3.0,Banashankari Stage V,3150.3030303030305,550.0,Banashankari Stage V,1.0,1,12.9266,77.5581,22
Super built-up  Area,17-Apr,Banashankari Stage V,3 BHK,Naiewre,1630,3.0,2.0,51.35,1630.0,3.0,Banashankari Stage V,3150.306748466258,543.3333333333334,Banashankari Stage V,1.0,1,12.9266,77.5581,22
Super built-up  Area,17-Oct,Banashankari Stage V,3 BHK,Naiewre,1510,3.0,3.0,47.57,1510.0,3.0,Banashankari Stage V,3150.3311258278145,503.3333333333333,Banashankari Stage V,1.0,1,12.9266,77.5581,22
Super built-up  Area,Ready To Move,Banashankari Stage V,3 BHK,,1315,2.0,2.0,49.0,1315.0,3.0,Banashankari Stage V,3726.235741444867,438.3333333333333,Banashankari Stage V,0.6666666666666666,1,12.9266,77.5581,22
Super built-up  Area,17-Oct,Banashankari Stage V,3 BHK,Naiewre,1540,3.0,2.0,48.51,1540.0,3.0,Banashankari Stage V,3150.0,513.3333333333334,Banashankari Stage V,1.0,1,12.9266,77.5581,22
Super built-up  Area,Ready To Move,Banashankari Stage V,2 BHK,,920,2.0,1.0,41.5,920.0,2.0,Banashankari Stage V,4510.869565217391,460.0,Banashankari Stage V,1.0,1,12.9266,77.5581,22
Super built-up  Area,20-Dec,Banashankari Stage VI,2 BHK,Brens7 ,1160 - 1195,2.0,0.0,59.935,1177.5,2.0,Banashankari Stage Vi,5090.0212314225055,588.75,Other,1.0,1,12.9266,77.5581,146
Built-up  Area,Ready To Move,Banashankari Stage VI,4 Bedroom,,4800,4.0,3.0,190.0,4800.0,4.0,Banashankari Stage Vi,3958.3333333333335,1200.0,Other,1.0,2,12.9266,77.5581,146
Plot  Area,Ready To Move,Banashankari Stage VI,4 Bedroom,,2200,4.0,2.0,195.0,2200.0,4.0,Banashankari Stage Vi,8863.636363636364,550.0,Other,1.0,3,12.9266,77.5581,146
Super built-up  Area,20-Oct,Banashankari Stage VI,2 BHK,Brens7 ,1160,2.0,1.0,59.0,1160.0,2.0,Banashankari Stage Vi,5086.206896551724,580.0,Other,1.0,1,12.9266,77.5581,146
Super built-up  Area,20-Dec,Banashankari Stage VI,2 BHK,Brens7 ,1180,2.0,1.0,59.47,1180.0,2.0,Banashankari Stage Vi,5039.830508474576,590.0,Other,1.0,1,12.9266,77.5581,146
Super built-up  Area,20-Dec,Banashankari Stage VI,3 BHK,Brens7 ,1423,2.0,1.0,71.73,1423.0,3.0,Banashankari Stage Vi,5040.758959943781,474.3333333333333,Other,0.6666666666666666,1,12.9266,77.5581,146
Super built-up  Area,20-Oct,Banashankari Stage VI,3 BHK,Brens7 ,1392,3.0,1.0,69.46,1392.0,3.0,Banashankari Stage Vi,4989.942528735632,464.0,Other,1.0,1,12.9266,77.5581,146
Super built-up  Area,20-Dec,Banashankari Stage VI,3 BHK,Brens7 ,1400 - 1421,2.0,0.0,70.385,1410.5,3.0,Banashankari Stage Vi,4990.074441687346,470.1666666666667,Other,0.6666666666666666,1,12.9266,77.5581,146
Plot  Area,Ready To Move,Banashankari Stage VI,4 Bedroom,,4800,3.0,2.0,200.0,4800.0,4.0,Banashankari Stage Vi,4166.666666666667,1200.0,Other,0.75,3,12.9266,77.5581,146
Super built-up  Area,Ready To Move,Banashankari3rd stage bigbazar,3 BHK,,1762,3.0,1.0,125.0,1762.0,3.0,Banashankari3Rd Stage Bigbazar,7094.211123723042,587.3333333333334,Other,1.0,1,12.9266,77.5581,146
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,,1184,2.0,3.0,53.0,1184.0,2.0,Banaswadi,4476.351351351352,592.0,Banaswadi,1.0,1,13.01,77.648,23
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,,1145,2.0,2.0,55.0,1145.0,2.0,Banaswadi,4803.493449781659,572.5,Banaswadi,1.0,1,13.01,77.648,23
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,,1250,2.0,0.0,60.0,1250.0,2.0,Banaswadi,4800.0,625.0,Banaswadi,1.0,1,13.01,77.648,23
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,,1365,2.0,2.0,73.0,1365.0,2.0,Banaswadi,5347.985347985348,682.5,Banaswadi,1.0,1,13.01,77.648,23
Plot  Area,Ready To Move,Banaswadi,5 Bedroom,,1903,6.0,2.0,140.0,1903.0,5.0,Banaswadi,7356.8050446663165,380.6,Banaswadi,1.2,3,13.01,77.648,23
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,,1222,2.0,2.0,80.0,1222.0,2.0,Banaswadi,6546.6448445171845,611.0,Banaswadi,1.0,1,13.01,77.648,23
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,RailsDa,870,2.0,2.0,38.0,870.0,2.0,Banaswadi,4367.816091954023,435.0,Banaswadi,1.0,1,13.01,77.648,23
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,,1200,2.0,3.0,60.0,1200.0,2.0,Banaswadi,5000.0,600.0,Banaswadi,1.0,1,13.01,77.648,23
Super built-up  Area,Ready To Move,Banaswadi,3 BHK,Srldsri,1600,3.0,2.0,74.5,1600.0,3.0,Banaswadi,4656.25,533.3333333333334,Banaswadi,1.0,1,13.01,77.648,23
Super built-up  Area,Ready To Move, Banaswadi,1 RK,Krntsee,527,1.0,0.0,35.0,527.0,1.0,Banaswadi,6641.366223908918,527.0,Banaswadi,1.0,1,13.01,77.648,23
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,,1340,2.0,2.0,73.0,1340.0,2.0,Banaswadi,5447.761194029851,670.0,Banaswadi,1.0,1,13.01,77.648,23
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,Naavehi,1008,2.0,2.0,52.0,1008.0,2.0,Banaswadi,5158.730158730159,504.0,Banaswadi,1.0,1,13.01,77.648,23
Built-up  Area,Ready To Move,Banaswadi,2 BHK,Shidei ,1105,2.0,2.0,57.0,1105.0,2.0,Banaswadi,5158.371040723982,552.5,Banaswadi,1.0,2,13.01,77.648,23
Built-up  Area,Ready To Move,"Banaswadi, ",4 BHK,,3161,4.0,3.0,214.0,3161.0,4.0,"Banaswadi,",6770.00949066751,790.25,Other,1.0,2,13.01,77.648,146
Plot  Area,Ready To Move,Bande Nallasandra,3 Bedroom,Ceureld,2400,4.0,1.0,130.0,2400.0,3.0,Bande Nallasandra,5416.666666666667,800.0,Other,1.3333333333333333,3,12.828683,77.520823,146
Super built-up  Area,Ready To Move,Bandepalya,2 BHK,Jaity H,1125,2.0,1.0,48.0,1125.0,2.0,Bandepalya,4266.666666666667,562.5,Other,1.0,1,12.877853,77.577332,146
Plot  Area,Ready To Move,Banjara Layout,2 Bedroom,,1200,2.0,2.0,70.0,1200.0,2.0,Banjara Layout,5833.333333333333,600.0,Other,1.0,3,12.904959,77.614991,146
Built-up  Area,Ready To Move,Banjara Layout,2 Bedroom,,1050,2.0,1.0,64.8,1050.0,2.0,Banjara Layout,6171.428571428572,525.0,Other,1.0,2,12.904959,77.614991,146
Plot  Area,Ready To Move,Banjara Layout,2 Bedroom,,753,3.0,3.0,59.5,753.0,2.0,Banjara Layout,7901.726427622842,376.5,Other,1.5,3,12.904959,77.614991,146
Plot  Area,Ready To Move,Banjara Layout,3 Bedroom,,900,3.0,1.0,79.0,900.0,3.0,Banjara Layout,8777.777777777777,300.0,Other,1.0,3,12.904959,77.614991,146
Plot  Area,Ready To Move,Banjara Layout,3 Bedroom,,2500,4.0,0.0,140.0,2500.0,3.0,Banjara Layout,5600.0,833.3333333333334,Other,1.3333333333333333,3,12.904959,77.614991,146
Plot  Area,18-Apr,Banjara Layout,4 Bedroom,,1200,4.0,1.0,105.0,1200.0,4.0,Banjara Layout,8750.0,300.0,Other,1.0,3,12.904959,77.614991,146
Plot  Area,Ready To Move,Bank Avenue,4 Bedroom,,2000,4.0,2.0,99.0,2000.0,4.0,Bank Avenue,4950.0,500.0,Other,1.0,3,12.946747,77.630461,146
Built-up  Area,Ready To Move,Bank Of Baroda Colony,2 BHK,,1080,2.0,1.0,55.0,1080.0,2.0,Bank Of Baroda Colony,5092.592592592592,540.0,Other,1.0,2,13.086035,77.842692,146
Super built-up  Area,18-Jul,Bannerghatta,4 BHK,Mamespa,3012,6.0,2.0,250.0,3012.0,4.0,Bannerghatta,8300.132802124834,753.0,Other,1.5,1,12.8879,77.5967,146
Super built-up  Area,Ready To Move,Bannerghatta,3 BHK,,1665,3.0,3.0,110.0,1665.0,3.0,Bannerghatta,6606.606606606607,555.0,Other,1.0,1,12.8879,77.5967,146
Super built-up  Area,18-Jul,Bannerghatta,3 BHK,Mamespa,2370,4.0,2.0,195.0,2370.0,3.0,Bannerghatta,8227.848101265823,790.0,Other,1.3333333333333333,1,12.8879,77.5967,146
Super built-up  Area,21-Dec,Bannerghatta,2 BHK,,1100,2.0,1.0,66.0,1100.0,2.0,Bannerghatta,6000.0,550.0,Other,1.0,1,12.8879,77.5967,146
Super built-up  Area,19-Dec,Bannerghatta,2 BHK,,1113,2.0,1.0,70.0,1113.0,2.0,Bannerghatta,6289.308176100629,556.5,Other,1.0,1,12.8879,77.5967,146
Super built-up  Area,Ready To Move,Bannerghatta,2 BHK,,1200,2.0,2.0,73.2,1200.0,2.0,Bannerghatta,6100.0,600.0,Other,1.0,1,12.8879,77.5967,146
Super built-up  Area,Ready To Move,Bannerghatta,2 BHK,,1070,2.0,1.0,87.0,1070.0,2.0,Bannerghatta,8130.841121495327,535.0,Other,1.0,1,12.8879,77.5967,146
Super built-up  Area,19-Dec,Bannerghatta,3 BHK,Mamespa,1776,3.0,2.0,124.0,1776.0,3.0,Bannerghatta,6981.981981981982,592.0,Other,1.0,1,12.8879,77.5967,146
Built-up  Area,Ready To Move,Bannerghatta Road,1 BHK,,500,1.0,1.0,18.5,500.0,1.0,Bannerghatta Road,3700.0,500.0,Bannerghatta Road,1.0,2,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,NadelCi,1050,2.0,1.0,65.0,1050.0,2.0,Bannerghatta Road,6190.476190476191,525.0,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1170,2.0,1.0,66.0,1170.0,3.0,Bannerghatta Road,5641.025641025641,390.0,Bannerghatta Road,0.6666666666666666,1,12.8879,77.5967,24
Super built-up  Area,21-Feb,Bannerghatta Road,1 BHK,Hiatei ,595,1.0,1.0,33.32,595.0,1.0,Bannerghatta Road,5600.0,595.0,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Carpet  Area,Ready To Move,Bannerghatta Road,3 BHK,,1445,3.0,2.0,95.0,1445.0,3.0,Bannerghatta Road,6574.39446366782,481.6666666666667,Bannerghatta Road,1.0,4,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,,1640,2.0,1.0,120.0,1640.0,3.0,Bannerghatta Road,7317.073170731707,546.6666666666666,Bannerghatta Road,0.6666666666666666,1,12.8879,77.5967,24
Built-up  Area,Ready To Move,Bannerghatta Road,4 Bedroom,,1380,3.0,0.0,58.0,1380.0,4.0,Bannerghatta Road,4202.898550724638,345.0,Bannerghatta Road,0.75,2,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1460,2.0,1.0,90.0,1460.0,3.0,Bannerghatta Road,6164.3835616438355,486.6666666666667,Bannerghatta Road,0.6666666666666666,1,12.8879,77.5967,24
Super built-up  Area,18-Oct,Bannerghatta Road,3 BHK,DSnjh S,1556,2.0,1.0,59.13,1556.0,3.0,Bannerghatta Road,3800.1285347043704,518.6666666666666,Bannerghatta Road,0.6666666666666666,1,12.8879,77.5967,24
Super built-up  Area,19-Feb,Bannerghatta Road,2 BHK,Hiatei ,1179,2.0,1.0,66.02,1179.0,2.0,Bannerghatta Road,5599.660729431722,589.5,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Super built-up  Area,22-Dec,Bannerghatta Road,2 BHK,PrarePa,1115 - 1130,2.0,0.0,58.935,1122.5,2.0,Bannerghatta Road,5250.334075723831,561.25,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,,793,2.0,1.0,45.0,793.0,2.0,Bannerghatta Road,5674.653215636822,396.5,Bannerghatta Road,1.0,2,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,TGjraVa,1484,3.0,2.0,52.5,1484.0,3.0,Bannerghatta Road,3537.735849056604,494.6666666666667,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,1400,2.0,2.0,78.0,1400.0,2.0,Bannerghatta Road,5571.428571428572,700.0,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Built-up  Area,Ready To Move,Bannerghatta Road,5 Bedroom,,2700,5.0,0.0,158.0,2700.0,5.0,Bannerghatta Road,5851.851851851852,540.0,Bannerghatta Road,1.0,2,12.8879,77.5967,24
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,,1215,2.0,0.0,50.0,1215.0,2.0,Bannerghatta Road,4115.22633744856,607.5,Bannerghatta Road,1.0,2,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,PrliaRe,1654,3.0,2.0,100.0,1654.0,3.0,Bannerghatta Road,6045.949214026602,551.3333333333334,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,,1181,2.0,0.0,55.0,1181.0,2.0,Bannerghatta Road,4657.070279424217,590.5,Bannerghatta Road,1.0,2,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1460,2.0,2.0,72.0,1460.0,3.0,Bannerghatta Road,4931.506849315068,486.6666666666667,Bannerghatta Road,0.6666666666666666,1,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Hiate F,1200,2.0,2.0,75.0,1200.0,2.0,Bannerghatta Road,6250.0,600.0,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Leate O,1760,3.0,2.0,67.0,1760.0,3.0,Bannerghatta Road,3806.818181818182,586.6666666666666,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Super built-up  Area,19-Dec,Bannerghatta Road,1 BHK,Hiatei ,595,1.0,1.0,31.83,595.0,1.0,Bannerghatta Road,5349.579831932773,595.0,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Super built-up  Area,18-Dec,Bannerghatta Road,2 BHK,,1105,2.0,1.0,51.0,1105.0,2.0,Bannerghatta Road,4615.384615384615,552.5,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,1255,2.0,2.0,65.26,1255.0,2.0,Bannerghatta Road,5200.000000000001,627.5,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1550,3.0,2.0,78.0,1550.0,3.0,Bannerghatta Road,5032.258064516129,516.6666666666666,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1550,3.0,2.0,82.0,1550.0,3.0,Bannerghatta Road,5290.322580645161,516.6666666666666,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Siaraa ,1550,2.0,2.0,75.0,1550.0,3.0,Bannerghatta Road,4838.709677419355,516.6666666666666,Bannerghatta Road,0.6666666666666666,1,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Esave E,1650,3.0,2.0,122.0,1650.0,3.0,Bannerghatta Road,7393.939393939394,550.0,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Haaceal,912,2.0,1.0,55.0,912.0,2.0,Bannerghatta Road,6030.701754385965,456.0,Bannerghatta Road,1.0,2,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,,1218,2.0,1.0,73.0,1218.0,2.0,Bannerghatta Road,5993.431855500821,609.0,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Super built-up  Area,18-Feb,Bannerghatta Road,3 BHK,DSnjh S,1427,2.0,2.0,48.51,1427.0,3.0,Bannerghatta Road,3399.4393833216536,475.6666666666667,Bannerghatta Road,0.6666666666666666,1,12.8879,77.5967,24
Super built-up  Area,22-Dec,Bannerghatta Road,2 BHK,PrarePa,1115,2.0,1.0,65.12,1115.0,2.0,Bannerghatta Road,5840.358744394619,557.5,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,DSnjh S,1344,2.0,1.0,42.0,1344.0,3.0,Bannerghatta Road,3125.0,448.0,Bannerghatta Road,0.6666666666666666,1,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,,1893,3.0,2.0,100.0,1893.0,3.0,Bannerghatta Road,5282.620179609086,631.0,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1600,3.0,2.0,95.0,1600.0,3.0,Bannerghatta Road,5937.5,533.3333333333334,Bannerghatta Road,1.0,2,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,1275,2.0,2.0,65.0,1275.0,2.0,Bannerghatta Road,5098.0392156862745,637.5,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Ceise P,892,2.0,1.0,39.0,892.0,2.0,Bannerghatta Road,4372.197309417041,446.0,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1880,3.0,2.0,95.0,1880.0,3.0,Bannerghatta Road,5053.191489361702,626.6666666666666,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,1260,2.0,2.0,70.0,1260.0,2.0,Bannerghatta Road,5555.555555555556,630.0,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Dhncyud,1788,3.0,2.0,90.0,1788.0,3.0,Bannerghatta Road,5033.557046979866,596.0,Bannerghatta Road,1.0,2,12.8879,77.5967,24
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,,1157,2.0,0.0,40.0,1157.0,2.0,Bannerghatta Road,3457.216940363008,578.5,Bannerghatta Road,1.0,2,12.8879,77.5967,24
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,,1150,2.0,2.0,65.0,1150.0,2.0,Bannerghatta Road,5652.173913043478,575.0,Bannerghatta Road,1.0,2,12.8879,77.5967,24
Plot  Area,Ready To Move,Bannerghatta Road,4 Bedroom,,10000,4.0,0.0,450.0,10000.0,4.0,Bannerghatta Road,4500.0,2500.0,Bannerghatta Road,1.0,3,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Saavenc,1100,2.0,0.0,39.0,1100.0,2.0,Bannerghatta Road,3545.4545454545455,550.0,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,,1400,3.0,2.0,68.0,1400.0,3.0,Bannerghatta Road,4857.142857142857,466.6666666666667,Bannerghatta Road,1.0,2,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Hiate F,1725,3.0,2.0,110.0,1725.0,3.0,Bannerghatta Road,6376.811594202899,575.0,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Plot  Area,Ready To Move,Bannerghatta Road,6 Bedroom,Upoutks,1850,6.0,3.0,150.0,1850.0,6.0,Bannerghatta Road,8108.108108108108,308.3333333333333,Bannerghatta Road,1.0,3,12.8879,77.5967,24
Plot  Area,Ready To Move,Bannerghatta Road,3 Bedroom,,9000,4.0,1.0,390.0,9000.0,3.0,Bannerghatta Road,4333.333333333333,3000.0,Bannerghatta Road,1.3333333333333333,3,12.8879,77.5967,24
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Saavenc,950,2.0,0.0,38.0,950.0,2.0,Bannerghatta Road,4000.0,475.0,Bannerghatta Road,1.0,2,12.8879,77.5967,24
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,PrliaRe,1220,2.0,1.0,80.0,1220.0,2.0,Bannerghatta Road,6557.377049180328,610.0,Bannerghatta Road,1.0,2,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,PrarePa,1130,2.0,2.0,78.0,1130.0,2.0,Bannerghatta Road,6902.654867256637,565.0,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,,1350,2.0,2.0,51.0,1350.0,3.0,Bannerghatta Road,3777.777777777778,450.0,Bannerghatta Road,0.6666666666666666,2,12.8879,77.5967,24
Super built-up  Area,19-Jan,Bannerghatta Road,3 BHK,Hiatei ,1486,3.0,1.0,83.22,1486.0,3.0,Bannerghatta Road,5600.269179004038,495.3333333333333,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1460,2.0,2.0,75.0,1460.0,3.0,Bannerghatta Road,5136.986301369863,486.6666666666667,Bannerghatta Road,0.6666666666666666,1,12.8879,77.5967,24
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Bhhmi L,1015,2.0,0.0,48.0,1015.0,2.0,Bannerghatta Road,4729.064039408867,507.5,Bannerghatta Road,1.0,2,12.8879,77.5967,24
Super built-up  Area,21-Dec,Bannerghatta Road,2 BHK,PrarePa,1115,2.0,1.0,61.0,1115.0,2.0,Bannerghatta Road,5470.85201793722,557.5,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Gundaa ,1136,2.0,1.0,48.0,1136.0,2.0,Bannerghatta Road,4225.352112676056,568.0,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,4 BHK,,2700,4.0,3.0,260.0,2700.0,4.0,Bannerghatta Road,9629.62962962963,675.0,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1200,2.0,2.0,69.0,1200.0,3.0,Bannerghatta Road,5750.0,400.0,Bannerghatta Road,0.6666666666666666,1,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1465,2.0,1.0,76.0,1465.0,3.0,Bannerghatta Road,5187.713310580205,488.3333333333333,Bannerghatta Road,0.6666666666666666,1,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,1255 - 1350,2.0,0.0,67.73,1302.5,2.0,Bannerghatta Road,5200.0,651.25,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Shissut,1200,2.0,2.0,65.0,1200.0,2.0,Bannerghatta Road,5416.666666666667,600.0,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,MNikaas,1240,2.0,1.0,65.0,1240.0,2.0,Bannerghatta Road,5241.935483870968,620.0,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Super built-up  Area,18-Feb,Bannerghatta Road,3 BHK,Baanise,1476,3.0,1.0,125.0,1476.0,3.0,Bannerghatta Road,8468.834688346884,492.0,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Pyvenas,1100,2.0,2.0,52.0,1100.0,3.0,Bannerghatta Road,4727.272727272727,366.6666666666667,Bannerghatta Road,0.6666666666666666,2,12.8879,77.5967,24
Super built-up  Area,22-Dec,Bannerghatta Road,3 BHK,PrarePa,1365 - 1700,3.0,0.0,84.29,1532.5,3.0,Bannerghatta Road,5500.163132137031,510.8333333333333,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,AMaveon,1465,2.0,1.0,45.87,1465.0,3.0,Bannerghatta Road,3131.0580204778157,488.3333333333333,Bannerghatta Road,0.6666666666666666,2,12.8879,77.5967,24
Super built-up  Area,18-Dec,Bannerghatta Road,2 BHK,Uncioe ,1268,2.0,1.0,69.0,1268.0,2.0,Bannerghatta Road,5441.640378548896,634.0,Bannerghatta Road,1.0,1,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1450,2.0,2.0,87.0,1450.0,3.0,Bannerghatta Road,6000.0,483.3333333333333,Bannerghatta Road,0.6666666666666666,1,12.8879,77.5967,24
Super built-up  Area,Ready To Move,Bannerghatta Road,4 BHK,Kobhiil,2932,5.0,2.0,195.0,2932.0,4.0,Bannerghatta Road,6650.75034106412,733.0,Bannerghatta Road,1.25,1,12.8879,77.5967,24
Super built-up  Area,17-Oct,Bannerghatta Road,3 BHK,SNillin,1450,3.0,1.0,44.0,1450.0,3.0,Bannerghatta Road,3034.4827586206898,483.3333333333333,Bannerghatta Road,1.0,1,12.8879,77.5967,24
